"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S801 (Gold)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S801 (Vintage White)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S800 (Gold)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S900 (Pearl White)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S900 (Racing Green)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 M800 (Pearl Black)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S900 (Pearl Black)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S900 (Plum Purple)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 M800 (Pearl White)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 M800 (Metallic Red)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 M800 (Blue Chameleon)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 P800 (Olympic White)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 P800 (Fiesta Red)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 P801 (Flamingo Pink)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 P800 (Flamingo Pink)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 P801 (Olympic White)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S800 (Metal Red)</dt>"
"<dt><font color=""red""><b>전용 풋스위치 페달 증정!!</b></font><br/>GTRS 일렉기타 S800 (Vintage White)</dt>"
